Name	Set	ImageFile	Rarity	Deck	Type	Alignment	Attribute	Power	Resistance	Control	ERRATA	Text
Church of the SubGenius 4	Subgenius	Church_of_the_SubGenius_4,Master	DC	Master	Illuminati 			7/7				The Church of the SubGenius may accumulate its Action tokens (Slack) each turn, though it can spend only one per action. It, and any SubGenius groups in its Power Structure, has +2 for direct control of any SubGenius group. SPECIAL GOAL: Up to three Slack (Illuminati) tokens on the Church of the SubGenius may count as groups toward your Basic Goal. This Goal cannot be combined with any other Goal.
13013	Subgenius	13013,Master	U	Master	Plot 		Requires Action					
Anti-Slack	Subgenius	Anti-Slack,Master	U	Master	Plot 							
Attitude Mutation	Subgenius	Attitude_Mutation,Master	U	Master	Plot 		May Require Action					
Bulldada	Subgenius	Bulldada,Master	U	Master	Plot 		Requires Three Discards					
Comet Hail-Bob	Subgenius	Comet_Hail-Bob,Master	U	Master	Plot 		Requires Illuminati or Church Actions					
Decency is OK!	Subgenius	Decency_is_OK,Master	U	Master	Plot 							
Devival	Subgenius	Devival,Master	U	Master	Plot 							
Eternal Salvation or Triple your Money Back	Subgenius	Eternal_Salvation_or_Triple_your_Money_Back,Master	U	Master	Plot 		Requires SubGeniuis Action					
Excremeditation	Subgenius	Excremeditation,Master	U	Master	Plot 		Requires Illuminati Action					
Fake Healing	Subgenius	Fake_Healing,Master	U	Master	Plot 							
False Overman	Subgenius	False_Overman,Master	U	Master	Plot 							
False Slack	Subgenius	False_Slack,Master	U	Master	Plot 		Requires Illuminati Action					
Give Me Slack, Or Give Me Food	Subgenius	Give_Me_Slack_Or_Give_Me_Food,Master	U	Master	Plot 		Requires Discards					
Head Launching	Subgenius	Head_Launching,Master	DC	Master	Plot 		Requires Action or Two Discards					
Inherently Bogus	Subgenius	Inherently_Bogus,Master	U	Master	Plot 							
JHVH-1	Subgenius	JHVH-1,Master	U	Master	Plot 		Requires_Illuminati Action					
Kill "Bob"!	Subgenius	Kill_Bob,Master	U	Master	Plot 							
Luck Plane	Subgenius	Luck_Plane,Master	U	Master	Plot 		Requires Three Discards					
Mediocretinism	Subgenius	Mediocretinism,Master	DC	Master	Plot 							
Miraculous Manifestation	Subgenius	Miraculous_Manifestation,Master	U	Master	Plot 							
More Slack	Subgenius	More_Slack,Master	U	Master	Plot 		Expose All Plots					
Nental Ife	Subgenius	Nental_Ife,Master	U	Master	Plot 		Requires Personality Action					
Official, all Inclusive, Divine Excuse	Subgenius	Official_all_Inclusive_Divine_Excuse,Master	U	Master	Plot 							
. . . Or Kill Me!	Subgenius	Or_Kill_Me,Master	U	Master	Plot 							
OverMan	Subgenius	OverMan,Master	U	Master	Plot 							
Psychic Pstench	Subgenius	Psychic_Pstench,Master	U	Master	Plot 		Requires SubGenius Personality Action					
Rain of Prairie Squid	Subgenius	Rain_of_Prairie_Squid,Master	U	Master	Plot 							
Random Jesii	Subgenius	Random_Jesii,Master	U	Master	Plot 		Requires Subgenius or Church Actions					
Rant!	Subgenius	Rant,Master	E	Master	Plot 		Requires Personality Action, Ends Turn					
Repent!	Subgenius	Repent,Master	U	Master	Plot 		Ends Turn					
Robo "Bob"	Subgenius	Robo_Bob,Master	U	Master	Plot 		Requires Action					
Sacred Jests	Subgenius	Sacred_Jests,Master	U	Master	Plot 							
Saint of Sales	Subgenius	Saint_of_Sales,Master	U	Master	Plot 		Requires Subgenius or Illuminati Action					
S.C.A.M.	Subgenius	SCAM,Master	DC	Master	Plot 		Requires Personality Action					
Schizm	Subgenius	Schizm,Master	U	Master	Plot 							
Shordurpersav	Subgenius	Shordurpersav,Master	E	Master	Plot 		Requires Illuminati or SubGenius Actions					
Slackfusion	Subgenius	Slackfusion,Master	DC	Master	Plot 							
Smite Them All!	Subgenius	Smite_Them_All,Master	U	Master	Plot 							
Stark Fist of Removal	Subgenius	Stark_Fist_of_Removal,Master	U	Master	Plot 		Requires All Illuminati Tokens, Ends Turn					
Sultan of Slack	Subgenius	Sultan_of_Slack,Master	U	Master	Plot 							
Tape Runs Out...	Subgenius	Tape_Runs_Out,Master	DC	Master	Plot 		Requires Illuminati Action or Discards					
The 13th Apostle	Subgenius	The_13th_Apostle,Master	U	Master	Plot 		Requires Illuminati Action					
The World Ends Tomorrow and You May Die!	Subgenius	The_World_Ends_Tomorrow_and_You_May_Die,Master	U	Master	Plot 		Ends Turn					
They May Be Pink. . .	Subgenius	They_May_Be_Pink,Master	DC	Master	Plot 							
Time Control	Subgenius	Time_Control,Master	U	Master	Plot 		Spend No Illuminati Tokens					
X-Day	Subgenius	X-Day,Master	U	Master	Plot 							
Yacatisma	Subgenius	Yacatisma,Master	U	Master	Plot 		Requires SubGenius Action					
You'd Pay to Know What You Really Think!	Subgenius	Youd_Pay_to_Know_What_You_Really_Think,Master	U	Master	Plot 							
Advanced Supersonic Aluminum Nazi Hell Creatures from Beneath the Hollow Earth	Subgenius	Advanced_Supersonic_Aluminum_Nazi_Hell_Creatures_from_Beneath_the_Hollow_Earth,Puppet	U	Puppet	Organization 	Violent	Science, Secret	4/2	6	2		
Bobbies	Subgenius	Bobbies,Puppet	U	Puppet	Organization 	Straight, Fanatic		1	0	0		
Church of Middle America	Subgenius	Church_of_Middle_America,Puppet	U	Puppet	Organization 	Conservative, Peaceful, Straight	Church	3/1	4	2		
Citizens for Normalcy	Subgenius	Citizens_for_Normalcy,Puppet	U	Puppet	Organization 	Conservative, Straight, Fanatic		2	2	1		
Connie Dobbs	Subgenius	Connie_Dobbs,Puppet	U	Puppet	Personality 	Straight	Subgenius	2/2	4	2		
Corrective Phrenologists	Subgenius	Corrective_Phrenologists,Puppet	U	Puppet	Organization 	Violent, Criminal	Science	2	3	1		
Dallas Catacombs	Subgenius	Dallas_Catacombs,Puppet	U	Puppet	Place 		Subgenius	1	6	1		
Divine Mail Order	Subgenius	Divine_Mail_Order,Puppet	U	Puppet	Organization 	Corporate	Media, Subgenius	2	3	1		
Dobbstown	Subgenius	Dobbstown,Puppet	U	Puppet	Place 	Weird, Fanatic	Subgenius	3	4	2		
Dokstok	Subgenius	Dokstok,Puppet	U	Puppet	Place 	Peaceful, Weird		1	1	1		
Dr. K'Taden Legume	Subgenius	Dr_KTaden_Legume,Puppet	U	Puppet	Personality 	Violent	Subgenius	2	3	1		
Drs. for "Bob"	Subgenius	Drs_for_Bob,Puppet	DC	Puppet	Organization 	Weird	Subgenius	2	4	2		
False Prophets	Subgenius	False_Prophets,Puppet	U	Puppet	Organization 	Straight, Fanatic	Church	2/2	2	1		
'Frop Farm	Subgenius	Frop_Farm,Puppet	U	Puppet	Place 	Peaceful	Secret, Subgenius	2/1	5	1		
Glorps	Subgenius	Glorps,Puppet	U	Puppet	Organization 	Straight, Fanatic		3	3	1		
Good Sex for Mutants Dating League	Subgenius	Good_Sex_for_Mutants_Dating_League,Puppet	DC	Puppet	Organization 	Liberal, Weird	Subgenius	1	3	2		
Jesus B.	Subgenius	Jesus_B,Puppet	U	Puppet	Personality 	Corporate, Weird	Subgenius	3	3	2		
League for Obvious Decency	Subgenius	League_for_Obvious_Decency,Puppet	DC	Puppet	Organization 	Conservative, Weird		1	3	0		
Local Clenches	Subgenius	Local_Clenches,Puppet	U	Puppet	Organization 		Church, Subgenius	0	2	0		
MWOWM	Subgenius	MWOWM,Puppet	U	Puppet	Organization 		Computer, Science	2/1	4	1		
NHGH	Subgenius	NHGH,Puppet	U	Puppet	Personality 	Criminal		5/3	2	1		
OverMan Philo Drummond	Subgenius	OverMan_Philo_Drummond,Puppet	U	Puppet	Personality 		Subgenius	3/3	4	2		
Phlegm Elementals	Subgenius	Phlegm_Elementals,Puppet	U	Puppet	Organization 	Violent	Secret	2/1	4	0		
Pinks	Subgenius	Pinks,Puppet	U	Puppet	Organization 	Straight		3/1	0	0		
Reverend Ivan Stang	Subgenius	Reverend_Ivan_Stang,Puppet	U	Puppet	Personality 		Media, Subgenius	3/2	4	3		
Rogue SubGenii	Subgenius	Rogue_SubGenii,Puppet	U	Puppet	Organization 	Criminal	Subgenius	2/2	5	1		
Saucer Landing Strip	Subgenius	Saucer_Landing_Strip,Puppet	U	Puppet	Place 		Secret, Space, Subgenius	1/1	3	2		
Secret FisTemple	Subgenius	Secret_FisTemple,Puppet	U	Puppet	Organization 		Church, Secret, Subgenius	2	4	3		
S.L.A.K.	Subgenius	SLAK,Puppet	DC	Puppet	Organization 	Violent, Fanatic	Subgenius	2	5	1		
Speakers in Tongues	Subgenius	Speakers_in_Tongues,Puppet	U	Puppet	Organization 	Conservative, Weird, Fanatic		1	3	0		
S.P.U.T.U.M.	Subgenius	SPUTUM,Puppet	DC	Puppet	Organization 	Violent, Weird	Computer, Subgenius	1	2	0		
St. Janor Hypercleats	Subgenius	St_Janor_Hypercleats,Puppet	U	Puppet	Personality 	Weird	Magic, Subgenius	2	1	1		
SubGenius FisTemples	Subgenius	SubGenius_FisTemples,Puppet	R	Puppet	Organization 	Weird	Church, Subgenius	2	3	2		
The Hour of Slack	Subgenius	The_Hour_of_Slack,Puppet	U	Puppet	Organization 	Weird	Media, Subgenius	2/1	3	2		
www.subgenius.com	Subgenius	wwwsubgeniuscom,Puppet	U	Puppet	Organization 		Church, Computer, Subgenius	3/3	2	1		
Xists	Subgenius	Xists,Puppet	U	Puppet	Organization 		Space	5/5	5	3		
Yetis	Subgenius	Yetis,Puppet	E	Puppet	Organization 	Peaceful	Green	2/2	3	2		
Janor Device	Subgenius	Janor_Device,Puppet	DC	Puppet	Resource 	Unique Gadget						
Martyr Meter	Subgenius	Martyr_Meter,Puppet	DC	Puppet	Resource 	Unique Gadget						
Sacred Stencil	Subgenius	Sacred_Stencil,Puppet	U	Puppet	Resource 	Unique Artifact						
The Prescriptures	Subgenius	The_Prescriptures,Puppet	DC	Puppet	Resource 	Unique Artifact						
The True Pipe	Subgenius	The_True_Pipe,Puppet	E	Puppet	Resource 	Unique Artifact						
Three-Fisted Tales of "Bob"	Subgenius	Three-Fisted_Tales_of_Bob,Puppet	U	Puppet	Resource 	Unique Artifact						
Autonome	German	Autonome,Puppet	X	Puppet	Organization	Liberal, Fanatic		3	4	1	The Autonome are anarchists. Most are actually peaceful, but the violent ones get the news coverage.	Gives +10 on any attempt to destroy any Government group.
Burschenschaften	German	Burschenschaften,Puppet	X	Puppet	Organization	Conservative		3	5	1	These are conservative, all-male student groups which affect military dress.	You may spend this group's action to draw another Group card at any time. The Burschenschaften count as two conservative groups towards any goal.
CONspiracy	German	CONspiracy,Puppet	X	Puppet	Organization	Weird, Fanatic		2/2	3	1	The German INWO/Magic convention, which hosts the German national M:TG championship.	Gives +1 Power to all your other Weird groups.
Dagobert	German	Dagobert,Puppet	X	Puppet	Personality	Straight, Criminal, Fanatic		1	3	1	A famous German criminal, who specialized in bomb-threat extortion schemes. He's now in jail. (In German, "Uncle Scrooge" is called Dagobert Duck.)	Once per turn, Dagobert can try, as a free action, to steal one Action token from any Corporate group. Roll a die. 1-3 means bad luck; nothing happens. 4-6 means success. Dagobert gets the stolen token, but can only use it for his own defense. Dagobert may only steal tokens before they are used . . . he may not wait until the token is used and try to steal it them!
Der grosse Magier	German	Der_grosse_Magier,Puppet	X	Puppet	Personality	Peaceful	Magic	1/1	2	1	The Great Magician - a stage magician.	Gives +2 on any attempt to control any Magic group. Has +10 for direct control of any Magic group.
Erich Honecker	German	Erich_Honecker,Puppet	X	Puppet	Personality	Conservative, Government	Communist	1	6	1	Honecker was the last leader of East Germany, before reunification. His card replaces Fidel Castro in the German set, but his ability is different.	You may place up to three Plots under Erich. They don't count against your limit, and cannot be exposed. You can use any of them at any time. Before using one, you must remove it from under Erich and roll a die. On a 1 or 3, discard it! On a 4 through 6, use it, paying the normal actions or other costs.
Fussballprofis	German	Fussballprofis,Puppet	X	Puppet	Organization	Corporate	Media	2	4	2	Pro Soccer Players. This group replaces Professional Sports, but with different abilities. Soccer is the leading sport in Germany, and the German national team is one of the best in the world.	The Fussballprofis' Corporate puppets add the attribute Media.
Genschman	German	Genschman,Puppet	X	Puppet	Personality	Liberal (Sometimes), Straight		3/3	3	1	Hans-Dietrich Genscher, former Foreign Minister of Germany, who still has considerable influence throughout Europe.	Genschman is liberal when he feels like it. He is treated as Liberal if and only if you, the Illuminati pulling his strings, want him to be Liberal. He gets a +2 bonus any time he aids in the defense of any Nation.
Hannelore Kohl	German	Hannelore_Kohl,Puppet	X	Puppet	Personality	Conservative, Straight		2	2	1	The wife of Chancellor Helmut Kohl. Very active in the campaign against cancer.	The Red Cross gets an extra Action token every turn if Hannelore is in the same Power Structure.
Helmut Kohl	German	Helmut_Kohl,Puppet	X	Puppet	Personality	Conservative, Government, Straight (Sometimes)		4	2	2	Chancellor of Germany since 1982, and leader of the Christdemokraten. Cartoonists love to caricature him with a pear-shaped head.	Helmut gives a +3 on any attempt to control any Government group that is part of Germany. He has a +8 for direct control of any Government group. Any time Helmut's alignment matters, roll a die. On a 1-3, he's Straight at the moment. On a 4-6, he's not.
Hipos	German	Hipos,Puppet	X	Puppet	Organization	Government, Straight		1	4	0	Parking-meter readers - not police, but a volunteer auxiliary. They are not beloved . . .	Spend this group's action to choose one player. Your victim must remove one Action token from each of his groups that has more than one.
Joschka Fischer	German	Joschka_Fischer,Puppet	X	Puppet	Personality	Liberal, Government	Green	1/1	4	2	Leader of the German Green party, anti-nuclear activist, never seen without tennis shoes.	Has a +4 for direct control of any Green group. By using his action, Joschka can cancel an action of the Nuclear Power Companies.
Karnevalisten	German	Karnevalisten,Puppet	X	Puppet	Organization	Straight (Sometimes), Weird (Sometimes)		2	4	2	Carnival-goers. Think of Mardi Gras . . . Every February, a lot of seemingly-normal Germans get very weird, and keep it up until the beer is gone.	Gives +2 on any attempt to control any Weird group. During other players' turn, the Karnevalisten are Straight. During your own turn, they are Weird. (In a two-player game, they're Weird only on every second turn.)
Manta-Fahrer	German	Manta-Fahrer,Puppet	X	Puppet	Organization	Fanatic		1	4	1	Manta drivers - a Manta is a sports car. The Germans tell "Manta driver" jokes as well as blonde jokes. Destroying the Manta drivers will always draw cheers in a German game. The traditional Manta driver dates a hairdresser - thus the scissors.	They're so stupid, they believe everything in the commercials! By spending one Illuminati action, or action(s) of Media groups with total power of 6 or more, you may add any one alignment to the Manta-Fahrer. This effect lasts until the beginning of your next turn. You can't add an alignment that is opposite to one they already have.
Showmaster	German	Showmaster,Puppet	X	Puppet	Personality	Conservative, Straight		1	1	1	A talk show host (replaces Gordo Remora, with different abilities)	Going on his show is always a gamble . . .  Spend his Action token to roll one die for any other Personality, with the consent of that Personality's owner. On a 1-3, the Personality's printed power is reduced permanently to 1. On a 4-6, it is permanently doubled. Only one appearance is allowed for each Personality.
Stammtischpolitiker	German	Stammtischpolitiker,Puppet	X	Puppet	Organization	Straight		1	1	1	Political discussion (and drinking) clubs, mainly of old men.	Constant discussion leads to illumination and the truth... The Stammtischpolitiker can use their action to reverse any alignment of any group in play. This effect lasts until your next turn.
Supertrainer	German	Supertrainer,Puppet	X	Puppet	Personality	Conservative, Straight		2/1	4	2	The Soccer Coach from Hell. In Germany, a good coach sits at the right hand of God . . .	By using his action, the Supertrainer can put a just-played World Cup Victory into your hand. He can do that only once per turn. He has +10 for direct control of the Fussballprofis.
Talkmaster	German	Talkmaster,Puppet	X	Puppet	Personality	Liberal	Media	1	2	1	Another talk show host; in Germany, a "talkmaster" hosts a more serious program, while a "showmaster" is small talk and media flash.	I'm a very good cook. And a very good butler too . . .  He gets +6 for direct control of any Personality.
Tennis-Star	German	Tennis-Star,Puppet	X	Puppet	Personality	Liberal, Straight		1	4	1	Female tennis star.	Your Power Structure gets a +4 to defend against any attack involving a Media group. She gets a +10 against any attack involving a Media group.
Topmodell	German	Topmodell,Puppet	X	Puppet	Personality	Peaceful	Media	1	1	1	Supermodel.	Gives +6 on any attempt to control any male Media Personality. By using her action, she can cancel any action of any Media group.
USA	German	USA,Puppet	X	Puppet	Place	Liberal, Government	Coastal, Huge, Nation	6/5	8	3	In English-language tournaments: Not legal, because - according to local Illuminated propaganda - nobody can ever control the whole US at once, even its own government. From across the Atlantic it looks different . . .	Gives +10 for direct control of the United Nation. Gives +4 on any attempt to destroy Violent groups.
Zuvieldienstleistende	German	Zuvieldienstleistende,Puppet	X	Puppet	Organization	Liberal, Fanatic	Green	2	3	0	The "Zivieldienstleistende" are those who have chosen alternative service (in hospitals or social work) rather than be drafted into the military. Changing the first two letters to "Zu" rather than "Zi" is a German pun implying that they over-exert themselves . . . which is pure sarcasm.	Be careful, gramps! Your wheel might be loose! By using this group's action, you can decrease the Power of any one Conservative group by 3, or increase the Power of any one Liberal group by 3. This effect lasts until the beginning of your next turn.
American Civil Liberties Union	German 2	American_Civil_Liberties_Union,Puppet	X	Puppet	Organization	Liberal, Fanatic		3	4	1		German Version: Autonome
Angela Merkel	German 2	Angela_Merkel,Puppet	X	Puppet	Personality	Conservative, Government, Straight (Sometimes)		4	2	2		German Version: Helmut Kohl
Ex-Hippies	German 2	Ex-Hippies,Puppet	X	Puppet	Organization	Straight (Sometimes), Weird (Sometimes)		2	4	2		German Version: Karnevalisten
Bernie Madoff	German 2	Bernie_Madoff,Puppet	X	Puppet	Personality	Straight, Criminal, Fanatic		1	3	1		German Version: Dagobert
Stepp Blatter	German 2	Stepp_Blatter,Puppet	X	Puppet	Personality	Conservative, Straight		2/1	4	2		German Version: Supertrainer
Giselle Bandchen	German 2	Giselle_Bandchen,Puppet	X	Puppet	Personality	Peaceful	Media	1	1	1		German Version: Topmodell
Steven Chu	German 2	Steven_Chu,Puppet	X	Puppet	Personality	Liberal, Government	Green	1/1	4	2		German Version: Joschka Fischer
Couch Potatoes	German 2	Couch_Potatoes,Puppet	X	Puppet	Organization	Fanatic		1	4	1		German Version: Manta-Fahrer
Chris Angel	German 2	Chris_Angel,Puppet	X	Puppet	Personality	Peaceful	Magic	1/1	2	1		German Version: Der grosse Magier
D.E.A.	German 2	DEA,Puppet	X	Puppet	Organization	Government, Straight		1	4	0		German Version: Hipos
Pro Footballers	German 2	Pro_Footballers,Puppet	X	Puppet	Organization	Corporate	Media	2	4	2		German Version: Fussballprofis
Geek Conventions	German 2	Geek_Conventions,Puppet	X	Puppet	Organization	Weird, Fanatic		2/2	3	1		German Version: CONspiracy
Jimmy Carter	German 2	Jimmy_Carter,Puppet	X	Puppet	Personality	Liberal (Sometimes), Straight		3/3	3	1		German Version: Genschman
Kin Jong Il	German 2	Kin_Jong_Il,Puppet	X	Puppet	Personality	Conservative, Government	Communist	1	6	1		German Version: Erich Honecker
Laura Bush	German 2	Laura_Bush,Puppet	X	Puppet	Personality	Conservative, Straight		2	2	0		German Version: Hannelore Kohl
David Letterman	German 2	David_Letterman,Puppet	X	Puppet	Personality	Liberal	Media	1	2	0		German Version: Talkmaster
Neoconservaaties	German 2	Neoconservaaties,Puppet	X	Puppet	Organization	Conservative		3	5	1		German Version: Burschenschaften
NGOs	German 2	NGOs,Puppet	X	Puppet	Organization	Liberal, Fanatic	Green	2	3	0		German Version: Zuvieldienstleistende
Philosophers	German 2	Philosophers,Puppet	X	Puppet	Organization	Straight		1	1	1		German Version: Stammtischpolitiker
Rush Limbaugh	German 2	Rush_Limbaugh,Puppet	X	Puppet	Personality	Conservative, Straight		1	1	1		German Version: Showmaster
U.S.A.	German 2	USA2,Puppet	X	Puppet	Place	Liberal, Government	Coastal, Huge, Nation	6/5	8	0	In English-language tournaments: Not legal, because - according to local Illuminated propaganda - nobody can ever control the whole US at once, even its own government. From across the Atlantic it looks different . . .	German Version: USA
Venus Williams	German 2	Venus_Williams,Puppet	X	Puppet	Personality	Liberal, Straight		1	4	1		German Version: Tennis-Star
Atlantis	Virtual	Atlantis,Puppet	X	Puppet	Illuminati			7/7				During your turn, you may expose 2 randomly selected plots from the hand of a rival. This is a free move. SPECIAL GOAL: Control groups with total global power of 35 or more, including Atlantis' own global power, reduces your basic goal by 3. This goal may not be combined with any other goal.
Bruno	Virtual	Bruno,Puppet	X	Puppet	Personality	Violent		1	2*	0		
Easter Island	Virtual	Easter_Island,Puppet	X	Puppet	Place		Coastal, Magic	3/3	4	0		
Fasces Romanum	Virtual	Fasces_Romanum,Puppet	X	Puppet	Illuminati			9/9		4		You start your turn by drawing two group cards, rather than one. SPECIAL GOAL: Any group counts double towards your total number of groups controlled, as long as none of your rivals control a group with higher permanent resistance.
Foreign Aid	Virtual	Foreign_Aid,Master	X	Master	Plot							
Headless Chicken Syndrome	Virtual	Headless_Chicken_Syndrome,Master	X	Master	Plot		Requires Illuminati Action					
Institute for Advanced Weapons Design	Virtual	Institute_for_Advanced_Weapons_Design,Puppet	X	Puppet	Organization	Violent	Science	2	3	1		
Isolationism	Virtual	Isolationism,Master	X	Master	Plot							
Nuclear Capability	Virtual	Nuclear_Capability,Master	X	Master	Plot							
Summit	Virtual	Summit,Master	X	Master	Plot							
The Nine Unknown Men	Virtual	The_Nine_Unknown_Men,Puppet	X	Puppet	Resource	Unique						
War Crimes Trials	Virtual	War_Crimes_Trials,Master	X	Master	Plot							
Fashion Designers	Fan	Fashion_Designers,Puppet	X	Puppet	Organization	Corporate, Weird, Fanatic	Media	4	7	1		
Food & Drug Administration	Fan	Food_&_Drug_Administration,Puppet	X	Puppet	Organization	Conservative, Government	Science	3	5	2		
Fox News Channel	Fan	Fox_News_Channel,Puppet	X	Puppet	Organization	Conservative, Corporate, Violent	Media	4	4	3		
Hippies	Fan	Hippies,Puppet	X	Puppet	Organization	Liberal, Peaceful, Weird	Green	0/2	4	0		
Inter-Dimensional Squirrel Agents	Fan	Inter-Dimensional_Squirrel_Agents,Puppet	X	Puppet	Organization	Fanatic	Magic, Secret	4/0*	3	3		
Interpol	Fan	Interpol,Puppet	X	Puppet	Organization	Straight	Computer	4/3	6	2		
KGB	Fan	KGB,Puppet	X	Puppet	Organization	Government, Fanatic*, Criminal (sometimes)	Communist, Secret	2/2	6	2		
Late Night Comics	Fan	Late_Night_Comics,Puppet	X	Puppet	Organization	Corporate	Media	3/1	3	2		
Microelectroinics Manufacturers	Fan	Microelectroinics_Manufacturers,Puppet	X	Puppet	Organization	Corporate, Straight	Computer, Science	3	4	2		
Oil Supertanker	Fan	Oil_Supertanker,Puppet	X	Puppet	Organization	Corporate		1*	3	1		
Private Detective Agencies	Fan	Private_Detective_Agencies,Puppet	X	Puppet	Organization	Corporate, Straight		3	4			
Richard Branson	Fan	Richard_Branson,Puppet	X	Puppet	Organization	Corporate, Straight	Media	1	4	1		
Search Engines	Fan	Search_Engines,Puppet	X	Puppet	Organization	Conservative	Computer	1/1	8	0		
Vampire Hunters	Fan	Vampire_Hunters,Puppet	X	Puppet	Organization	Violent, Weird, Fanatic	Magic, Secret	2	8	1		
Anti-Christ	Fan	Anti-Christ,Puppet	X	Puppet	Personality	Violent, Fanatic	Church, Secret (Sometimes)	6/6	6	2		
Barack Obama	Fan	Barack_Obama,Puppet	X	Puppet	Personality	Liberal, Government	Green, Media	5/1	5	3		
Bob Woodward	Fan	Bob_Woodward,Puppet	X	Puppet	Personality	Straight	Media	1	2	0		
Joe Biden	Fan	Joe_Biden,Puppet	X	Puppet	Personality	Liberal, Government, Straight		2	2	1		
Lech Walesa	Fan	Lech_Walesa,Puppet	X	Puppet	Personality	Liberal, Peaceful		1	6	0		
Sarah Palin	Fan	Sarah_Palin,Puppet	X	Puppet	Personality	Conservative, Straight		2	3	1		
Afghanistan	Fan	Afghanistan,Puppet	X	Puppet	Place	Government, Violent, Criminal, Fanatic	Huge, Nation	3	7	2		
Alaska	Fan	Alaska,Puppet	X	Puppet	Place	Conservative, Government, Violent	Coastal, Huge	3/1	3	2		
Area 51	Fan	Area_51,Puppet	X	Puppet	Place	Government	Secret	4/2	6	1		
Mexico	Fan	Mexico,Puppet	X	Puppet	Place	Government	Coastal, Huge, Nation	3/1	5	3		
San Fransisco	Fan	San_Fransisco,Puppet	X	Puppet	Place	Liberal, Government, Weird	Coastal	1	5	2		
Einsteins Brain	Fan	Einsteins_Brain,Puppet	X	Puppet	Resource	Unique Artifact						
Large Hadron Collider	Fan	Large_Hadron_Collider,Puppet	X	Puppet	Resource	Unique Gadget	ACTION (maybe 2)					
Mount Rushmore	Fan	Mount_Rushmore,Puppet	X	Puppet	Resource	Unique Artifact	ACTION					
Remote Viewer	Fan	Remote_Viewer,Puppet	X	Puppet	Resource		ACTION					
The Delphic Oracle	Fan	The_Delphic_Oracle,Puppet	X	Puppet	Resource	Magic Artifact	ACTION					
Anthrax Letters	Fan	Anthrax_Letters,Master	X	Master	Disaster!		Disaster!					
Ancient Truths	Fan	Ancient_Truths,Master	X	Master	Goal							
Individuals are History	Fan	Individuals_are_History,Master	X	Master	Goal							
Kill Your Darlings	Fan	Kill_Your_Darlings,Master	X	Master	Goal							
Omnicide	Fan	Omnicide,Master	X	Master	Goal							
Space Race	Fan	Space_Race,Master	X	Master	Goal							
The "I" in the Pyramid	Fan	The_I_in_the_Pyramid,Master	X	Master	Goal							
Friend Computer	Fan	Friend_Computer,Master	X	Master	Illuminati			8/8		4		When you make an attack, the modifier for shared/opposed alignments is increased by +2/-2. SPECIAL GOAL: Each successful attack to control or destroy by another rplayer, made with your aid, reduces your basic goal by 1. This goal may not be combined with other goals in any way.
Jiang Hu	Fan	Jiang_Hu,Master	X	Master	Illuminati			7/7		4		Any attack roll of 11 you make is not an automatic failure. You may exchange plot draws for group draws and vice versa. SPECIAL GOAL: Control and/or destroy criminal groups with total power of 40 or more. This reduces your basic goal by 4. Destroyed groups contribute the permanent power they had at the time of destruction.
Kronopians	Fan	Kronopians,Master	X	Master	Illuminati			7/7		4		You may spend the Kronopians action to pick a plot card from yoru discard pile and put it in your hand. If you also discard a group card, the chosen plot card may be from the discard pile of a rival. SPECIAL GOAL: After your second turn, you may reduce your basic goal by one at the beginning of each of your turns. This goal may not be combined with other goals in any way.
Technomagi	Fan	Technomagi,Master	X	Master	Illuminati			8/8		4		You have +4 on any attempt to control any Science, Magic, or Computer group. Your power structure is immune to attacks from Criminal groups. SPECIAL GOAL: Each Magic Artifact or Gadget Resource card in your power structure may count as a group toward the number of groups you need to control in order to win. No more than half the groups needed to win may be Resources.
The OMNI	Fan	The_OMNI,Master	X	Master	Illuminati			7/7		4		You have +5 on any attempt to control any Church group. If you fail to control a Church group from your hand, you need not discard it - you may place it back anywhere in your Groups pile. SPECIAL GOAL: Control a total Power of 40 or more, counting The OMNI's Power. Up to 3 of your Church groups' Power values may be doubled for this Goal.
The Outer Church of the Archons	Fan	The_Outer_Church_of_the_Archons,Master	X	Master	Illuminati			6/6		4		Having a power of 0 does not prevent your groups from getting tokens. At any time, you may spend Archons token to put 1 token on one or more groups, as long as their total power does not exceed that of the Archons. SPECIAL GOALS: If any 8 groups you control have a combined power of 8 or less, you may claim victory. Paralyzation or devastation does not prevent your groups and their puppets from counting towards this goal.
The Technocracy	Fan	The_Technocracy,Master	X	Master	Illuminati			6/6		4		+4 on any attempt to destroy a Magic group. +2 on any attempt to control a Computer, Science, or Space group. This bonus is cumulative with each attribute. SPECIAL GOAL: Every two Gadget Resources you control count as one group towards the basic goal.
The White Hand	Fan	The_White_Hand,Master	X	Master	Illuminati			7/7		4		When any player makes a non-instant attack, you play assassinations to add their power, and the token they allow, to the attack. SPECIAL GOAL: The killing of up to 3 Personalities count as 2 Groups each towards the basic goal. If you can kill 5 Personalities without recourse to destroy the Moonbase, you may claim victory on that basis alone.
Global Economic Recession	Fan	Global_Economic_Recession,Master	X	Master	NWOB		Blue					
War Is Terror	Fan	War_Is_Terror,Master	X	Master	NWOB		Blue					
Corporate Ownership of the Public Airwaves	Fan	Corporate_Ownership_of_the_Public_Airwaves,Master	X	Master	NWOY		Yellow					
Fundamentalism	Fan	Fundamentalism,Master	X	Master	NWOY		Yellow					
